Provinsi,Tahun,Jumlah_Miskin,P0,PDRB,IPM,AHH,Cluster
ACEH,2015,851.59,17.08,129092.66,69.45,69.54,1
ACEH,2016,848.44,16.73,136843.82,70.0,69.56,1
ACEH,2017,872.61,16.89,145806.92,70.6,69.59,1
ACEH,2018,839.49,15.97,155910.98,71.19,69.7,1
ACEH,2019,819.44,15.32,164162.98,71.9,69.91,2
ACEH,2020,814.91,14.99,166372.32,73.29,69.97,2
ACEH,2021,834.24,15.33,184979.88,73.48,70.0,2
ACEH,2022,806.82,14.64,209698.36,74.11,70.21,2
ACEH,2023,806.75,14.45,227018.29,74.7,70.38,2
ACEH,2024,804.53,14.23,243202.15,75.36,70.48,2
BALI,2015,196.71,4.74,176412.67,73.27,71.4,2
BALI,2016,178.18,4.25,194089.58,73.65,71.44,2
BALI,2017,180.13,4.25,213035.86,74.3,71.46,2
BALI,2018,171.76,4.01,233636.77,74.77,71.68,2
BALI,2019,163.85,3.79,251934.1,75.38,72.0,2
BALI,2020,165.19,3.78,224225.72,76.52,72.16,2
BALI,2021,201.97,4.53,220466.43,76.69,72.28,2
BALI,2022,205.69,4.57,245367.89,77.4,72.61,2
BALI,2023,193.78,4.25,274382.04,78.01,73.03,2
BALI,2024,184.43,4.0,298439.56,78.63,73.34,2
BANTEN,2015,702.4,5.9,479300.44,70.27,69.47,2
BANTEN,2016,658.11,5.42,517898.34,70.96,69.49,2
BANTEN,2017,675.04,5.45,563597.7,71.42,69.52,2
BANTEN,2018,661.36,5.24,613804.41,71.95,69.67,2
BANTEN,2019,654.46,5.09,661321.34,72.44,69.89,2
BANTEN,2020,775.99,5.92,625895.38,74.41,70.0,2
BANTEN,2021,867.23,6.66,665870.3,74.68,70.07,2
BANTEN,2022,814.02,6.16,747220.84,75.25,70.41,2
BANTEN,2023,826.13,6.17,814122.03,75.77,70.82,2
BANTEN,2024,791.61,5.84,873626.25,76.35,71.06,2
BENGKULU,2015,334.07,17.88,50334.02,68.59,68.54,1
BENGKULU,2016,328.61,17.32,55384.17,69.33,68.56,1
BENGKULU,2017,316.98,16.45,60657.68,69.95,68.58,1
BENGKULU,2018,301.81,15.43,66402.99,70.64,68.82,1
BENGKULU,2019,302.3,15.23,72098.24,71.21,69.2,1
BENGKULU,2020,302.58,15.03,73305.27,72.93,69.37,2
BENGKULU,2021,306.0,15.22,79602.64,73.16,69.47,2
BENGKULU,2022,297.23,14.62,90111.95,73.68,69.71,2
BENGKULU,2023,288.46,14.04,96551.38,74.3,69.96,2
BENGKULU,2024,281.36,13.56,103991.93,74.91,70.18,2
DI YOGYAKARTA,2015,550.23,14.91,101440.52,77.59,74.72,2
DI YOGYAKARTA,2016,494.94,13.34,109962.35,78.38,74.73,2
DI YOGYAKARTA,2017,488.53,13.02,119128.72,78.89,74.76,2
DI YOGYAKARTA,2018,460.1,12.13,129818.36,79.53,74.84,2
DI YOGYAKARTA,2019,448.47,11.7,141047.69,79.99,74.94,2
DI YOGYAKARTA,2020,475.72,12.28,138117.84,79.95,75.03,2
DI YOGYAKARTA,2021,506.45,12.8,149413.65,80.22,75.08,2
DI YOGYAKARTA,2022,454.76,11.34,165724.53,80.65,75.1,2
DI YOGYAKARTA,2023,448.47,11.04,180746.37,81.09,75.22,2
DI YOGYAKARTA,2024,445.55,10.83,193561.94,81.62,75.53,2
DKI JAKARTA,2015,398.92,3.93,1989088.75,78.99,72.48,3
DKI JAKARTA,2016,384.3,3.75,2159073.62,79.6,72.56,3
DKI JAKARTA,2017,389.69,3.77,2365353.86,80.06,72.6,3
